SUBDIVISION,YEAR,Parameter,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
ANDAMAN & NICOBAR ISLANDS,1908,Percentage departure,-57.5,208.6,-100,-59.8,58.1,47.2,21.1,74.7,-0.6,-41,-10.7,28.4,22.9,38,29.1,35.5,-14.8
ANDAMAN & NICOBAR ISLANDS,1908,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1910,Actual,26.6,22.7,206.3,89.3,224.5,472.7,264.3,337.4,626.6,208.2,267.3,153.5,2899.4,49.3,520.1,1701,629
ANDAMAN & NICOBAR ISLANDS,1910,Percentage departure,-46,-17.7,588.3,23.7,-36.9,0.3,-33.5,-15.8,45.3,-28.1,14.7,0.1,-0.4,-35.8,13.6,0,-6.9
ANDAMAN & NICOBAR ISLANDS,1910,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1911,Actual,0,8.4,0,122.5,327.3,649,253,187.1,464.5,333.8,94.5,247.1,2687.2,8.4,449.8,1553.6,675.4
ANDAMAN & NICOBAR ISLANDS,1911,Percentage departure,-100,-69.5,-100,69.7,-8,37.7,-36.4,-53.3,7.7,15.3,-59.4,61.2,-7.7,-89.1,-1.7,-8.6,-0.1
ANDAMAN & NICOBAR ISLANDS,1911,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1912,Actual,583.7,0.8,0,21.9,140.7,549.8,468.9,370.3,386.2,318.7,117.2,2.3,2960.5,584.5,162.6,1775.2,438.2
ANDAMAN & NICOBAR ISLANDS,1912,Percentage departure,1085.8,-97.1,-100,-69.7,-60.4,16.6,18,-7.6,-10.4,10.1,-49.7,-98.5,1.7,661.1,-64.5,4.4,-35.2
ANDAMAN & NICOBAR ISLANDS,1912,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1913,Actual,84.8,0.5,1.3,2.5,190.7,530,280.8,205.8,580.1,288.8,133,67.5,2365.8,85.3,194.5,1596.7,489.3
ANDAMAN & NICOBAR ISLANDS,1913,Percentage departure,72.3,-98.2,-95.7,-96.5,-46.4,12.4,-29.4,-48.6,34.5,-0.2,-42.9,-56,-18.7,11.1,-57.5,-6.1,-27.6
ANDAMAN & NICOBAR ISLANDS,1913,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1914,Actual,0,0,0,37.7,298.8,383.3,792.8,520.5,310.8,139.8,184.4,289.7,2957.8,0,336.5,2007.4,613.9
ANDAMAN & NICOBAR ISLANDS,1914,Percentage departure,-100,-100,-100,-47.8,-16,-18.7,99.4,29.9,-27.9,-51.7,-20.9,89,1.6,-100,-26.5,18,-9.2
ANDAMAN & NICOBAR ISLANDS,1914,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1915,Actual,45,56.7,33.3,40.9,170.2,334.7,269,317.2,429.8,468.1,258.4,318,2741.3,101.7,244.4,1350.7,1044.5
ANDAMAN & NICOBAR ISLANDS,1915,Percentage departure,-8.6,105.6,11.1,-43.4,-52.1,-29,-32.3,-20.8,-0.3,61.7,10.9,107.4,-5.8,32.4,-46.6,-20.6,54.6
ANDAMAN & NICOBAR ISLANDS,1915,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1916,Actual,0,0,0,0.5,487.4,450.1,317.3,425,561.2,369.7,192.6,133.7,2937.5,0,487.9,1753.6,696
ANDAMAN & NICOBAR ISLANDS,1916,Percentage departure,-100,-100,-100,-99.3,37.1,-4.5,-20.2,6.1,30.1,27.7,-17.3,-12.8,0.9,-100,6.6,3.1,3
ANDAMAN & NICOBAR ISLANDS,1916,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1917,Actual,8,3.6,112,4.5,295.9,301.1,394.8,437.4,471.8,238.1,108.3,236.9,2612.4,11.6,412.4,1605.1,583.3
ANDAMAN & NICOBAR ISLANDS,1917,Percentage departure,-83.7,-86.9,273.7,-93.8,-16.8,-36.1,-0.7,9.2,9.4,-17.7,-53.5,54.5,-10.3,-84.9,-9.9,-5.6,-13.7
ANDAMAN & NICOBAR ISLANDS,1917,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1918,Actual,77.4,6.9,11.4,10.7,729.3,710.8,200.9,455.4,303.3,227,366.9,175,3275,84.3,751.4,1670.4,768.9
ANDAMAN & NICOBAR ISLANDS,1918,Percentage departure,57.2,-75,-62,-85.2,105.1,50.8,-49.5,13.7,-29.7,-21.6,57.5,14.1,12.5,9.8,64.1,-1.8,13.8
ANDAMAN & NICOBAR ISLANDS,1918,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1919,Actual,10.2,18,0,35.5,283.9,542.5,246.5,259.8,170.7,186.2,340.4,258.4,2352.1,28.2,319.4,1219.5,785
ANDAMAN & NICOBAR ISLANDS,1919,Percentage departure,-79.3,-34.7,-100,-50.8,-20.2,15.1,-38,-35.1,-60.4,-35.7,46.1,68.5,-19.2,-63.3,-30.2,-28.3,16.2
ANDAMAN & NICOBAR ISLANDS,1919,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1920,Actual,122.3,7.4,3.1,13,237.4,546.9,294.4,467.4,505.4,397.5,262.9,85.5,2943.2,129.7,253.5,1814.1,745.9
ANDAMAN & NICOBAR ISLANDS,1920,Percentage departure,148.5,-73.2,-89.7,-82,-33.2,16,-25.9,16.7,17.2,37.3,12.8,-44.2,1.1,68.9,-44.6,6.7,10.4
ANDAMAN & NICOBAR ISLANDS,1920,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1921,Actual,13.2,3.1,0,37.5,351.2,282.7,487.1,330,581.2,360.7,118.2,41.5,2606.4,16.3,388.7,1681,520.4
ANDAMAN & NICOBAR ISLANDS,1921,Percentage departure,-73.2,-88.8,-100,-48.1,-1.2,-40,22.5,-17.6,34.8,24.6,-49.3,-72.9,-10.5,-78.8,-15.1,-1.2,-23
ANDAMAN & NICOBAR ISLANDS,1921,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1922,Actual,245.3,34.3,15.6,323.1,289.7,506.1,425.8,307.4,511.7,162,541,192.2,3554.2,279.6,628.4,1751,895.2
ANDAMAN & NICOBAR ISLANDS,1922,Percentage departure,398.3,24.4,-48,347.5,-18.5,7.4,7.1,-23.3,18.7,-44,132.2,25.4,22.1,264.1,37.3,3,32.5
ANDAMAN & NICOBAR ISLANDS,1922,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1923,Actual,79.5,0,NA,91.3,293.5,808.4,636.9,182.2,560.5,131.9,197.4,70.6,NA,79.5,NA,2188,399.9
ANDAMAN & NICOBAR ISLANDS,1923,Percentage departure,61.5,-100,NA,26.4,-17.5,71.5,60.2,-54.5,30,-54.4,-15.3,-53.9,NA,3.5,NA,28.7,-40.8
ANDAMAN & NICOBAR ISLANDS,1923,No. of districts,1,1,0,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1924,Actual,28.7,0,14.8,89.7,191.2,261.2,493.3,290.9,251.2,331.1,378.6,NA,NA,28.7,295.7,1296.6,NA
ANDAMAN & NICOBAR ISLANDS,1924,Percentage departure,-41.7,-100,-50.6,24.2,-46.2,-44.6,24.1,-27.4,-41.8,14.4,62.5,NA,NA,-62.6,-35.4,-23.8,NA
ANDAMAN & NICOBAR ISLANDS,1924,No. of districts,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1925,Actual,36.6,0,8.6,50.4,282.2,663.8,241.8,278.2,201.9,249.5,271.5,196,2480.5,36.6,341.2,1385.7,717
ANDAMAN & NICOBAR ISLANDS,1925,Percentage departure,-25.6,-100,-71.3,-30.2,-20.6,40.8,-39.2,-30.5,-53.2,-13.8,16.5,27.8,-14.8,-52.3,-25.5,-18.5,6.1
ANDAMAN & NICOBAR ISLANDS,1925,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1926,Actual,122.1,0,0,0.5,198.4,370,195.3,523.7,719.3,443.8,148.4,560.7,3282.2,122.1,198.9,1808.3,1152.9
ANDAMAN & NICOBAR ISLANDS,1926,Percentage departure,148,-100,-100,-99.3,-44.2,-21.5,-50.9,30.7,66.8,53.3,-36.3,265.7,12.8,59,-56.5,6.3,70.6
ANDAMAN & NICOBAR ISLANDS,1926,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1927,Actual,3,17.5,17.8,108.6,504.1,433.3,195.2,370.1,126.2,327.5,274.1,65.5,2442.9,20.5,630.5,1124.8,667.1
ANDAMAN & NICOBAR ISLANDS,1927,Percentage departure,-93.9,-36.5,-40.6,50.4,41.8,-8.1,-50.9,-7.6,-70.7,13.1,17.6,-57.3,-16.1,-73.3,37.7,-33.9,-1.3
ANDAMAN & NICOBAR ISLANDS,1927,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1928,Actual,50.9,67.6,80.7,129.3,499.5,410.2,406.3,391.5,404.8,444.5,99.5,13.5,2998.3,118.5,709.5,1612.8,557.5
ANDAMAN & NICOBAR ISLANDS,1928,Percentage departure,3.4,145.2,169.3,79.1,40.5,-13,2.2,-2.3,-6.1,53.6,-57.3,-91.2,3,54.3,55,-5.2,-17.5
ANDAMAN & NICOBAR ISLANDS,1928,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1929,Actual,74.2,118.4,129.2,69.8,316.6,588.8,134,644.7,172.9,413,251.5,13.5,2926.6,192.6,515.6,1540.4,678
ANDAMAN & NICOBAR ISLANDS,1929,Percentage departure,50.7,329.4,331.1,-3.3,-11,24.9,-66.3,61,-59.9,42.7,7.9,-91.2,0.5,150.8,12.6,-9.4,0.3
ANDAMAN & NICOBAR ISLANDS,1929,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1930,Actual,87.4,105.4,131.2,10.9,231.5,533.6,317.9,446.7,677.2,82.3,249.4,201.6,3075.1,192.8,373.6,1975.4,533.3
ANDAMAN & NICOBAR ISLANDS,1930,Percentage departure,77.6,282.3,337.8,-84.9,-34.9,13.2,-20,11.5,57,-71.6,7,31.5,5.6,151.1,-18.4,16.2,-21.1
ANDAMAN & NICOBAR ISLANDS,1930,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1931,Actual,25.3,0,2.5,2.5,205.4,393.5,289.3,571,294.4,368.3,22.8,182.7,2357.7,25.3,210.4,1548.2,573.8
ANDAMAN & NICOBAR ISLANDS,1931,Percentage departure,-48.6,-100,-91.7,-96.5,-42.2,-16.5,-27.2,42.6,-31.7,27.2,-90.2,19.2,-19,-67.1,-54,-9,-15.1
ANDAMAN & NICOBAR ISLANDS,1931,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1932,Actual,2.8,2.5,10.1,58.2,479.7,NA,NA,NA,NA,NA,NA,NA,NA,5.3,548,NA,NA
ANDAMAN & NICOBAR ISLANDS,1932,Percentage departure,-94.3,-90.9,-66.3,-19.4,34.9,NA,NA,NA,NA,NA,NA,NA,NA,-93.1,19.7,NA,NA
ANDAMAN & NICOBAR ISLANDS,1932,No. of districts,1,1,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1933,Actual,4.5,11.7,8.1,58.4,365.4,544.2,376.6,294.1,759,239.8,268.8,56.9,2987.5,16.2,431.9,1973.9,565.5
ANDAMAN & NICOBAR ISLANDS,1933,Percentage departure,-90.9,-57.6,-73,-19.1,2.8,15.5,-5.3,-26.6,76,-17.2,15.4,-62.9,2.6,-78.9,-5.6,16.1,-16.3
ANDAMAN & NICOBAR ISLANDS,1933,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1934,Actual,7.3,172.9,6.9,131.4,62,708.4,323.5,924.9,761.1,338.1,240.2,46.1,3722.8,180.2,200.3,2717.9,624.4
ANDAMAN & NICOBAR ISLANDS,1934,Percentage departure,-85.2,527.1,-77,82,-82.6,50.3,-18.6,130.9,76.5,16.8,3.1,-69.9,27.9,134.6,-56.2,59.8,-7.6
ANDAMAN & NICOBAR ISLANDS,1934,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1935,Actual,6.6,0,0.5,133.6,726.8,374.1,368.7,411.6,578.9,182.4,275.4,95.4,3154,6.6,860.9,1733.3,553.2
ANDAMAN & NICOBAR ISLANDS,1935,Percentage departure,-86.6,-100,-98.3,85,104.4,-20.6,-7.2,2.8,34.2,-37,18.2,-37.8,8.3,-91.4,88.1,1.9,-18.1
ANDAMAN & NICOBAR ISLANDS,1935,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1936,Actual,16.5,15.3,116.5,NA,194.3,498.3,664.8,562.9,383.8,174.9,199.2,212.2,NA,31.8,NA,2109.8,586.3
ANDAMAN & NICOBAR ISLANDS,1936,Percentage departure,-66.5,-44.5,288.7,NA,-45.4,5.7,67.2,40.5,-11,-39.6,-14.5,38.4,NA,-58.6,NA,24.1,-13.2
ANDAMAN & NICOBAR ISLANDS,1936,No. of districts,1,1,1,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1937,Actual,21.6,10.7,0,112,330.5,732.8,449.5,332,349.5,383.3,251.7,617.5,3591.1,32.3,442.5,1863.8,1252.5
ANDAMAN & NICOBAR ISLANDS,1937,Percentage departure,-56.1,-61.2,-100,55.1,-7.1,55.5,13.1,-17.1,-19,32.4,8,302.8,23.4,-57.9,-3.3,9.6,85.3
ANDAMAN & NICOBAR ISLANDS,1937,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1938,Actual,13.4,57.2,50.5,101.6,368.9,668.6,318.2,397.1,546.7,318.4,316.3,107.5,3264.4,70.6,521,1930.6,742.2
ANDAMAN & NICOBAR ISLANDS,1938,Percentage departure,-72.8,107.5,68.5,40.7,3.7,41.8,-20,-0.9,26.8,10,35.7,-29.9,12.1,-8.1,13.8,13.5,9.8
ANDAMAN & NICOBAR ISLANDS,1938,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1939,Actual,54.1,1.5,16.1,77.3,480.5,541,335.6,202.8,512.5,263.9,165.9,131.3,2782.5,55.6,573.9,1591.9,561.1
ANDAMAN & NICOBAR ISLANDS,1939,Percentage departure,9.9,-94.6,-46.3,7.1,35.1,14.8,-15.6,-49.4,18.8,-8.8,-28.8,-14.4,-4.4,-27.6,25.4,-6.4,-17
ANDAMAN & NICOBAR ISLANDS,1939,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1940,Actual,0.5,2.8,59.4,0,320.7,335.4,268.1,889.2,477.5,114.1,221,318.8,3007.5,3.3,380.1,1970.2,653.9
ANDAMAN & NICOBAR ISLANDS,1940,Percentage departure,-99,-89.8,98.2,-100,-9.8,-28.8,-32.6,122,10.7,-60.6,-5.2,107.9,3.3,-95.7,-17,15.8,-3.2
ANDAMAN & NICOBAR ISLANDS,1940,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1941,Actual,0,12.8,0,77.8,251.9,497,302.5,311.9,516,382.8,266,279.5,2898.2,12.8,329.7,1627.4,928.3
ANDAMAN & NICOBAR ISLANDS,1941,Percentage departure,-100,-53.6,-100,7.7,-29.2,5.4,-23.9,-22.1,19.6,32.2,14.2,82.3,-0.4,-83.3,-28,-4.3,37.4
ANDAMAN & NICOBAR ISLANDS,1941,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1942,Actual,39.2,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1942,Percentage departure,-20.4,-73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-39.3,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1942,No. of districts,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1946,Actual,84.4,3.6,21.1,135.2,309.1,535.9,189,367.4,478.3,276.9,146.9,243.8,2791.6,88,465.4,1570.6,667.6
ANDAMAN & NICOBAR ISLANDS,1946,Percentage departure,71.5,-86.9,-29.6,87.2,-13.1,13.7,-52.5,-8.3,10.9,-4.3,-37,59,-4.1,14.6,1.7,-7.6,-1.2
ANDAMAN & NICOBAR ISLANDS,1946,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1947,Actual,25.1,111.1,63.2,127.7,206.3,965.6,490,293.7,NA,376,67.5,168.6,NA,136.2,397.2,NA,612.1
ANDAMAN & NICOBAR ISLANDS,1947,Percentage departure,-49,302.9,110.9,76.9,-42,104.9,23.3,-26.7,NA,29.9,-71,10,NA,77.3,-13.2,NA,-9.4
ANDAMAN & NICOBAR ISLANDS,1947,No. of districts,1,1,1,1,1,1,1,1,0,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1949,Actual,0,56.4,0,166.5,405.8,658.4,743.3,404,627.5,339.6,81.1,7,3489.6,56.4,572.3,2433.2,427.7
ANDAMAN & NICOBAR ISLANDS,1949,Percentage departure,-100,104.6,-100,130.6,14.1,39.7,87,0.9,45.5,17.3,-65.2,-95.4,19.9,-26.6,25,43.1,-36.7
ANDAMAN & NICOBAR ISLANDS,1949,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1950,Actual,0.8,0,0,95.5,264.2,369.9,366.7,347.3,494.5,224.6,89.3,169.4,2422.2,0.8,359.7,1578.4,483.3
ANDAMAN & NICOBAR ISLANDS,1950,Percentage departure,-98.4,-100,-100,32.3,-25.7,-21.5,-7.7,-13.3,14.7,-22.4,-61.7,10.5,-16.8,-99,-21.4,-7.2,-28.5
ANDAMAN & NICOBAR ISLANDS,1950,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1951,Actual,82.7,7.2,0,45.4,259,619.9,665.3,101.3,360.9,489,209.6,434.8,3275.1,89.9,304.4,1747.4,1133.4
ANDAMAN & NICOBAR ISLANDS,1951,Percentage departure,68,-73.9,-100,-37.1,-27.2,31.5,67.4,-74.7,-16.3,68.9,-10.1,183.6,12.5,17.1,-33.5,2.7,67.7
ANDAMAN & NICOBAR ISLANDS,1951,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1952,Actual,0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2,3079.9,0.8,562,1824.8,692.3
ANDAMAN & NICOBAR ISLANDS,1952,Percentage departure,-100,-97.1,132.6,-45.4,27.4,39.5,-3,35.1,-44.3,9,23.4,-41.8,5.8,-99,22.8,7.3,2.4
ANDAMAN & NICOBAR ISLANDS,1952,No. of districts,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1953,Actual,56,65.3,20.1,159.4,241.1,549.9,444.4,262.8,370.1,243.6,246,63.3,2721.9,121.3,420.5,1627.1,552.9
ANDAMAN & NICOBAR ISLANDS,1953,Percentage departure,13.8,136.8,-33,120.7,-32.2,16.7,11.8,-34.4,-14.2,-15.8,5.6,-58.7,-6.5,58,-8.1,-4.3,-18.2
ANDAMAN & NICOBAR ISLANDS,1953,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1954,Actual,83.8,2.1,34.3,58,394.7,539.4,510.8,605.4,763.8,247.2,84.8,124.7,3449,85.9,487,2419.4,456.7
ANDAMAN & NICOBAR ISLANDS,1954,Percentage departure,70.3,-92.5,14.3,-19.6,11,14.4,28.5,51.1,77.1,-14.6,-63.6,-18.7,18.5,11.8,6.4,42.3,-32.4
ANDAMAN & NICOBAR ISLANDS,1954,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1955,Actual,57.3,28.2,9.9,68.8,663.6,651.1,298.4,356.9,341.8,466.5,362.9,44.2,3349.6,85.5,742.2,1648.3,873.6
ANDAMAN & NICOBAR ISLANDS,1955,Percentage departure,16.4,2.1,-67,-4.8,86.6,38.1,-24.9,-10.9,-20.7,61.2,55.7,-71.2,15.1,11.3,62.1,-3.1,29.3
ANDAMAN & NICOBAR ISLANDS,1955,No. of districts,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
ANDAMAN & NICOBAR ISLANDS,1956,Actual,49.2,77.2,33.8,130.3,491.8,343.1,468.4,467.7,325.1,458.7,164.1,70.5,3080,126.4,656,1604.4,693.3
ANDAMAN & NICOBAR ISLANDS,1956,Percentage departure,-0.1,180.1,12.8,80.5,38.3,-27.2,17.8,16.8,-24.6,58.4,-29.6,-54,5.8,64.6,43.3,-5.7,2.6
ANDAMAN & NICOBAR ISLANDS,1956,No. of districts,3,3,3,3,3,3,3,3,3,2,3,3,NA,NA,NA,NA,NA
